{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[16/1000] D: 0.32|G: 5.13|Recon: 8.55|Consis: 1.17|Content: 5.12|Style: 13.86|T: 8.91|| M2MM: 0.00|MM2M: 0.00| experiment_name
[17/1000] D: 0.30|G: 5.23|Recon: 8.43|Consis: 1.13|Content: 4.72|Style: 11.90|T: 8.95|| M2MM: 0.00|MM2M: 0.00| experiment_name
[18/1000] D: 0.29|G: 4.99|Recon: 8.29|Consis: 1.10|Content: 5.07|Style: 13.32|T: 8.86|| M2MM: 0.00|MM2M: 0.00| experiment_name
[19/1000] D: 0.31|G: 5.14|Recon: 8.06|Consis: 1.08|Content: 5.23|Style: 13.63|T: 8.75|| M2MM: 0.00|MM2M: 0.00| experiment_name
[20/1000] D: 0.29|G: 5.30|Recon: 8.05|Consis: 1.05|Content: 6.01|Style: 15.75|T: 8.81|| M2MM: 0.00|MM2M: 0.00| experiment_name
[21/1000] D: 0.25|G: 7.54|Recon: 7.90|Consis: 1.01|Content: 5.08|Style: 12.11|T: 8.83|| M2MM: 0.00|MM2M: 0.00| experiment_name
[22/1000] D: 0.18|G: 8.91|Recon: 7.82|Consis: 1.01|Content: 4.88|Style: 10.74|T: 8.75|| M2MM: 0.00|MM2M: 0.00| experiment_name
[23/1000] D: 0.15|G: 7.62|Recon: 7.63|Consis: 0.99|Content: 4.62|Style: 11.60|T: 8.82|| M2MM: 0.00|MM2M: 0.00| experiment_name
[24/1000] D: 0.10|G: 9.26|Recon: 7.44|Consis: 0.97|Content: 4.46|Style: 11.60|T: 8.71|| M2MM: 0.00|MM2M: 0.00| experiment_name
[25/1000] D: 0.12|G: 14.33|Recon: 7.40|Consis: 0.95|Content: 4.78|Style: 11.65|T: 8.80|| M2MM: 0.00|MM2M: 0.00| experiment_name
[26/1000] D: 6.38|G: 5.94|Recon: 7.38|Consis: 0.90|Content: 4.45|Style: 11.22|T: 8.69|| M2MM: 0.00|MM2M: 0.00| experiment_name
[27/1000] D: 0.85|G: 6.64|Recon: 7.25|Consis: 0.90|Content: 4.51|Style: 12.02|T: 8.70|| M2MM: 0.00|MM2M: 0.00| experiment_name
[28/1000] D: 0.53|G: 9.96|Recon: 7.14|Consis: 0.88|Content: 3.99|Style: 10.75|T: 8.53|| M2MM: 0.00|MM2M: 0.00| experiment_name
[29/1000] D: 1.69|G: 0.72|Recon: 7.05|Consis: 0.87|Content: 3.88|Style: 10.02|T: 8.58|| M2MM: 0.00|MM2M: 0.00| experiment_name
[30/1000] D: 4.59|G: 0.74|Recon: 6.94|Consis: 0.83|Content: 3.70|Style: 10.97|T: 8.50|| M2MM: 0.00|MM2M: 0.00| experiment_name
[31/1000] D: 1.69|G: 1.09|Recon: 6.89|Consis: 0.82|Content: 3.63|Style: 11.48|T: 8.44|| M2MM: 0.00|MM2M: 0.00| experiment_name
[32/1000] D: 0.95|G: 1.27|Recon: 6.85|Consis: 0.80|Content: 4.14|Style: 12.19|T: 8.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[33/1000] D: 0.92|G: 1.26|Recon: 6.84|Consis: 0.77|Content: 3.81|Style: 11.33|T: 8.16|| M2MM: 0.00|MM2M: 0.00| experiment_name
[34/1000] D: 0.89|G: 1.38|Recon: 6.77|Consis: 0.80|Content: 3.53|Style: 10.53|T: 8.28|| M2MM: 0.00|MM2M: 0.00| experiment_name
[35/1000] D: 0.87|G: 1.46|Recon: 6.63|Consis: 0.78|Content: 3.42|Style: 10.20|T: 8.29|| M2MM: 0.00|MM2M: 0.00| experiment_name
[36/1000] D: 0.88|G: 1.65|Recon: 6.47|Consis: 0.74|Content: 3.20|Style: 11.23|T: 8.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[37/1000] D: 0.81|G: 1.60|Recon: 6.47|Consis: 0.75|Content: 3.31|Style: 10.19|T: 8.12|| M2MM: 0.00|MM2M: 0.00| experiment_name
[38/1000] D: 0.82|G: 1.76|Recon: 6.41|Consis: 0.74|Content: 3.31|Style: 10.24|T: 8.20|| M2MM: 0.00|MM2M: 0.00| experiment_name
[39/1000] D: 0.74|G: 2.09|Recon: 6.21|Consis: 0.75|Content: 3.35|Style: 10.38|T: 7.87|| M2MM: 0.00|MM2M: 0.00| experiment_name
[40/1000] D: 0.69|G: 2.28|Recon: 6.11|Consis: 0.73|Content: 3.16|Style: 10.11|T: 7.87|| M2MM: 0.00|MM2M: 0.00| experiment_name
[41/1000] D: 0.70|G: 2.49|Recon: 6.19|Consis: 0.70|Content: 3.28|Style: 10.72|T: 7.82|| M2MM: 0.00|MM2M: 0.00| experiment_name
[42/1000] D: 0.62|G: 2.99|Recon: 6.05|Consis: 0.69|Content: 2.98|Style: 9.90|T: 7.88|| M2MM: 0.00|MM2M: 0.00| experiment_name
[43/1000] D: 0.57|G: 3.14|Recon: 5.79|Consis: 0.69|Content: 3.14|Style: 10.63|T: 7.65|| M2MM: 0.00|MM2M: 0.00| experiment_name
[44/1000] D: 0.56|G: 3.96|Recon: 5.63|Consis: 0.69|Content: 3.11|Style: 11.50|T: 7.68|| M2MM: 0.00|MM2M: 0.00| experiment_name
[45/1000] D: 0.54|G: 2.79|Recon: 5.43|Consis: 0.69|Content: 3.48|Style: 10.85|T: 7.42|| M2MM: 0.00|MM2M: 0.00| experiment_name
[46/1000] D: 0.66|G: 5.64|Recon: 5.23|Consis: 0.70|Content: 3.56|Style: 11.01|T: 7.31|| M2MM: 0.00|MM2M: 0.00| experiment_name
[47/1000] D: 0.98|G: 1.55|Recon: 5.30|Consis: 0.72|Content: 3.65|Style: 10.33|T: 7.32|| M2MM: 0.00|MM2M: 0.00| experiment_name
[48/1000] D: 1.14|G: 1.47|Recon: 5.41|Consis: 0.70|Content: 3.43|Style: 9.96|T: 7.17|| M2MM: 0.00|MM2M: 0.00| experiment_name
[49/1000] D: 0.86|G: 2.53|Recon: 5.07|Consis: 0.69|Content: 3.28|Style: 9.96|T: 7.07|| M2MM: 0.00|MM2M: 0.00| experiment_name
[50/1000] D: 0.60|G: 4.07|Recon: 4.80|Consis: 0.65|Content: 2.96|Style: 10.43|T: 6.95|| M2MM: 0.00|MM2M: 0.00| experiment_name
[51/1000] D: 1.08|G: 1.68|Recon: 4.80|Consis: 0.67|Content: 3.20|Style: 9.85|T: 7.04|| M2MM: 0.00|MM2M: 0.00| experiment_name
[52/1000] D: 0.75|G: 1.58|Recon: 4.48|Consis: 0.65|Content: 4.31|Style: 11.62|T: 6.69|| M2MM: 0.00|MM2M: 0.00| experiment_name
